Slug,Name,Operator,Host,Host Type,Address,City,State,Latitude,Longitude,Coordinate Precision,Stalls,Hardware,Power kW,Status,Verification Status,Evidence Grade,Class,First Confirmed,Opened On,Milestone,Summary,Source URL,Unstated,Notes,Publish
suncoast-land-o-lakes-fl,"Suncoast Charging, Land O' Lakes",Suncoast Charging,,,,Land O' Lakes,FL,28.2682,-82.465,Area-Only,,,,Operational,Verified,B (strong secondary),SfB,2025-11-20,,First third-party-owned Tesla Superchargers in North America,"Suncoast Charging installed the first third-party-owned Tesla Superchargers in North America. Built and serviced by Tesla, owned and operated by Suncoast.",https://evwire.com/p/us-the-first-third-party-tesla-supercharger-in-north-america-installed-by-suncoast-charging,"stalls, hardware, power_kw, address, opened_on","Stall count is not stated in this article. A later EVwire post describes the site as four wrapped Superchargers, but that is a cross-reference, not this article, so stalls stays null here.",true
suncoast-wesley-chapel-fl,"Suncoast Charging, Wesley Chapel",Suncoast Charging,,,,Wesley Chapel,FL,28.21036,-82.28896,Area-Only,,,,Unknown,To Verify,C (reported or inferred),SfB,2026-06-19,,,"Suncoast revealed stall wraps featuring four threatened Florida species at its Wesley Chapel site, each stamped with a Preserve and Protect seal.",https://evwire.com/p/suncoast-charging-new-charger-designs-florida-species,"stalls, status, hardware, power_kw, address, opened_on","The article counts four designs, not four stalls. Status is genuinely unstated: the piece never says whether the site is built or operating. Do not upgrade either without a source.",true
dbrl-boca-raton-fl,Diamonds by Raymond Lee,Diamonds by Raymond Lee,Diamonds by Raymond Lee,Luxury retail,,Boca Raton,FL,26.3583,-80.0833,Area-Only,4,V4,,Construction,Verified,B (strong secondary),SfB,2026-04-03,,,"Custom-branded Tesla V4 Superchargers being installed at a luxury jeweller, alongside a dual-port ChargePoint unit. Deployed by EnviroSpark Energy Solutions.",https://evwire.com/p/tesla-superchargers-diamond-shop-florida,"address, power_kw, opened_on",Status was Construction as of April 2026. Not re-verified since.,true
francis-norman-ok,"Francis Energy at Crest Foods, Norman",Francis Energy,Crest Foods,Grocery,"2550 Mt. Williams Dr., Norman, OK",Norman,OK,35.2212,-97.4448,Area-Only,4,,,Operational,Verified,A (primary source),SfB,2026-01-12,2026-01-13,"First Francis Energy site with Tesla Superchargers, and the first time a direct competitor to the Tesla network deployed Tesla hardware on its own network","Francis Energy reopened its Norman site with four Tesla Superchargers, priced at $0.44/kWh for all drivers. Developed with GoodFinch.",https://evwire.com/p/francis-energy-partners-with-tesla-to-install-superchargers-in-oklahoma,"hardware, power_kw","Article published one day before the stated 13 Jan opening, but says the site was already live on Tesla's map and app.",true
francis-oklahoma-city-ok,"Francis Energy, N Lincoln Blvd",Francis Energy,,,"N Lincoln Blvd, Oklahoma City, OK",Oklahoma City,OK,35.473,-97.5177,Area-Only,,,,Planned,Suspected,C (reported or inferred),SfB,2026-01-12,,,Permit documents filed by Francis Energy and Amp Engineering show Tesla hardware for a site on N Lincoln Blvd.,https://evwire.com/p/francis-energy-partners-with-tesla-to-install-superchargers-in-oklahoma,"stalls, hardware, power_kw, opened_on",Permit-stage only. Evidence grade C. May since have been folded into the 17-site Francis aggregate.,true
francis-bartlesville-ok,"Francis Energy, Bartlesville",Francis Energy,,,,Bartlesville,OK,36.74396,-95.99209,Area-Only,8,,,Construction,To Verify,C (reported or inferred),SfB,2026-01-12,,,"Eight Supercharger units installed but not yet commissioned as of January 2026, per a Tesla Motors Club thread.",https://evwire.com/p/francis-energy-partners-with-tesla-to-install-superchargers-in-oklahoma,"hardware, power_kw, address, opened_on","Forum-sourced. Likely commissioned by now and inside the 17-site aggregate, but not separately confirmed.",true
francis-durant-ok,"Francis Energy, Durant",Francis Energy,,,,Durant,OK,34.00609,-96.3847,Area-Only,,,,Construction,To Verify,C (reported or inferred),SfB,2026-01-12,,,"Francis-labelled Superchargers being installed as of mid-December 2025, apparently replacing the site's BTCPower chargers.",https://evwire.com/p/francis-energy-partners-with-tesla-to-install-superchargers-in-oklahoma,"stalls, hardware, power_kw, address, opened_on","Likely commissioned by now and inside the 17-site aggregate, but not separately confirmed.",true
alpharetta-ga,Alpharetta Department of Public Safety,City of Alpharetta,City of Alpharetta,Municipal,"Old Milton Parkway, Alpharetta, GA",Alpharetta,GA,34.1048,-84.2949,Area-Only,4,,325,Operational,Verified,A (primary source),SfB,2026-03-09,2026-03-08,First city in the world to buy Tesla Superchargers,"Four 325 kW city-branded Superchargers next to the police department, open to the public and to the force's two Model Ys. One pull-in accessible stall.",https://evwire.com/p/alpharetta-city-superchargers-police-fleet-charging,hardware,This article says 325 kW but never says V4. Three later EVwire posts refer back to Alpharetta as V4. Hardware left null because the source article does not state it.,true
chargedev-norcross-ga,ChargedEV Hubs at Global Mall,ChargedEV Hubs,Global Mall,Retail,"5675 Jimmy Carter Blvd, Norcross, GA",Norcross,GA,33.9392,-84.2053,Area-Only,8,V4,325,Operational,Verified,A (primary source),SfB,2026-05-12,,First Supercharger for Business deployment in Georgia from a private company,"Eight V4 stalls at 325 kW with Magic Dock along I-85, reported at a 2.5 MWh/day run rate. Delivered with Car Charger Specialists, Tesla Energy and Georgia Power.",https://evwire.com/p/chargedev-hubs-debuts-thirdparty-supercharger-site-georgia,opened_on,,true
courtyard-fredericksburg-tx,Courtyard FBG TX,Courtyard FBG TX,Courtyard FBG TX,Mixed-use retail,"108 S Elk St, Fredericksburg, TX",Fredericksburg,TX,30.28166,-98.87993,Area-Only,8,V4,325,Operational,Verified,A (primary source),SfB,2026-03-24,,Fredericksburg's first and only Tesla Supercharger,"Eight V4 stalls at up to 325 kW in a courtyard with a boutique grocer, champagne lounge, events venue, wine bar and dog park.",https://evwire.com/p/courtyard-supercharger-fredericksburg-texas-tesla-supercharger,opened_on,,true
